
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
   182    54.000000      1.000000      55.000000   Etimer17         0     11100111001101001100110(37)(30)00(55)0(55)0
   183    55.000000      1.000000      56.000000   Etimer22         0     11100111001101001100110(38)(30)00(55)0(55)0
   184    55.000000      1.000000      56.000000   Etimer17         0     11100111001101001100110(38)(30)00(55)0(56)0
   185    55.000000      1.000000      56.000000   Etimer18         0     11100111001101001100110(39)(30)00(55)0(56)0
   186    55.000000      1.000000      56.000000   Etimer21         0     11100111001101001100110(39)(31)00(55)0(56)0
   187    56.000000      1.000000      57.000000   Etimer17         0     11100111001101001100110(39)(31)00(56)0(56)0
   188    56.000000      1.000000      57.000000   Etimer22         0     11100111001101001100110(40)(31)00(56)0(56)0
   189    56.000000      1.000000      57.000000   Etimer21         0     11100111001101001100110(40)(31)00(56)0(57)0
   190    56.000000      1.000000      57.000000   Etimer18         0     11100111001101001100110(40)(31)00(57)0(57)0
   191    57.000000      1.000000      58.000000   Etimer22         0     11100111001101001100110(40)(32)00(57)0(57)0
   192    57.000000      1.000000      58.000000   Etimer17         0     11100111001101001100110(40)(32)00(57)0(58)0
   193    57.000000      1.000000      58.000000   Etimer21         0     11100111001101001100110(41)(32)00(57)0(58)0
   194    57.000000      1.000000      58.000000   Etimer18         0     11100111001101001100110(41)(32)00(58)0(58)0
   195    58.000000      1.000000      59.000000   Etimer22         0     11100111001101001100110(41)(33)00(58)0(58)0
   196    58.000000      1.000000      59.000000   Etimer17         0     11100111001101001100110(41)(33)00(58)0(59)0
   197    58.000000      1.000000      59.000000   Etimer21         0     11100111001101001100110(42)(33)00(58)0(59)0
   198    58.000000      1.000000      59.000000   Etimer18         0     11100111001101001100110(42)(33)00(59)0(59)0
   199    59.000000      1.000000      60.000000   Etimer22         0     11100111001101001100110(42)(34)00(59)0(59)0
   200    59.000000      1.000000      60.000000   Etimer18         0     11100111001101001100110(42)(34)00(59)0(60)0
   201    59.000000      1.000000      60.000000   Etimer17         0     11100111001101001100110(42)(35)00(59)0(60)0
   202    59.000000      1.000000      60.000000   Etimer21         0     11100111001101001100110(43)(35)00(59)0(60)0
   203    60.000000      1.000000      61.000000   Etimer18         0     11100111001101001100110(43)(35)00(60)0(60)0
   204    60.000000      1.000000      61.000000   Etimer17         0     11100111001101001100110(43)(36)00(60)0(60)0
   205    60.000000      1.000000      61.000000   Etimer21         0     11100111001101001100110(44)(36)00(60)0(60)0
   206    60.000000      1.000000      61.000000   Etimer22         0     11100111001101001100110(44)(36)00(61)0(60)0
   207    61.000000      1.000000      62.000000   Etimer17         0     11100111001101001100110(44)(36)00(61)0(61)0
   208    61.000000      1.000000      62.000000   Etimer22         0     11100111001101001100110(45)(36)00(61)0(61)0
   209    61.000000      1.000000      62.000000   Etimer21         0     11100111001101001100110(45)(36)00(61)0(62)0
   210    61.000000      1.000000      62.000000   Etimer18         0     11100111001101001100110(45)(36)00(62)0(62)0
   211     0.000000     62.000000      62.000000   T4               0     11100111001101001100110(45)(37)00(62)0(62)0
   212    62.000000      1.000000      63.000000   Etimer18         0     11110111001001001101110(45)(37)00(62)0(62)0
   213    62.000000      1.000000      63.000000   Etimer17         0     11110111001001001101110(45)(38)00(62)0(62)0
   214    62.000000      1.000000      63.000000   Etimer20         0     11110111001001001101110(46)(38)00(62)0(62)0
   215    62.000000      1.000000      63.000000   Etimer22         0     11110111001001001101110(46)(38)01(62)0(62)0
   216    62.000000      1.000000      63.000000   Etimer21         0     11110111001001001101110(46)(38)01(62)0(63)0
   217    63.000000      1.000000      64.000000   Etimer22         0     11110111001001001101110(46)(38)01(63)0(63)0
   218    63.000000      1.000000      64.000000   Etimer20         0     11110111001001001101110(46)(38)01(63)0(64)0
   219    63.000000      1.000000      64.000000   Etimer17         0     11110111001001001101110(46)(38)02(63)0(64)0
   220    63.000000      1.000000      64.000000   Etimer18         0     11110111001001001101110(47)(38)02(63)0(64)0
   221    63.000000      1.000000      64.000000   Etimer21         0     11110111001001001101110(47)(39)02(63)0(64)0
   222    64.000000      1.000000      65.000000   Etimer20         0     11110111001001001101110(47)(39)02(64)0(64)0
   223    64.000000      1.000000      65.000000   Etimer22         0     11110111001001001101110(47)(39)03(64)0(64)0
   224    64.000000      1.000000      65.000000   Etimer21         0     11110111001001001101110(47)(39)03(64)0(65)0
   225    64.000000      1.000000      65.000000   Etimer17         0     11110111001001001101110(47)(39)03(65)0(65)0
   226    64.000000      1.000000      65.000000   Etimer18         0     11110111001001001101110(48)(39)03(65)0(65)0
   227     0.000000     65.000000      65.000000   T6               0     11110111001001001101110(48)(40)03(65)0(65)0
   228    65.000000      0.000000      65.000000   ImmTr8           0     11111111001000001101110(48)(40)03(65)0(65)0
   229    65.000000      0.000000      65.000000   ImmTr7           0     11110110001000011101110(48)(40)03(65)0(65)0
   230    65.000000      0.000000      65.000000   ImmTr5           0     11110100001000111101100(48)(40)03(65)0(65)0
   231    65.000000      1.000000      66.000000   Etimer18         0     11110000001010111101000(48)(40)03(65)0(65)0
   232    65.000000      1.000000      66.000000   Etimer17         0     11110000001010111101000(48)(41)03(65)0(65)0
   233    65.000000      1.000000      66.000000   Etimer20         0     11110000001010111101000(49)(41)03(65)0(65)0
   234    66.000000      1.000000      67.000000   Etimer18         0     11110000001010111101000(49)(41)04(65)0(65)0
   235    66.000000      1.000000      67.000000   Etimer20         0     11110000001010111101000(49)(42)04(65)0(65)0
   236    66.000000      1.000000      67.000000   Etimer17         0     11110000001010111101000(49)(42)05(65)0(65)0
   237    67.000000      1.000000      68.000000   Etimer18         0     11110000001010111101000(50)(42)05(65)0(65)0
   238    67.000000      1.000000      68.000000   Etimer20         0     11110000001010111101000(50)(43)05(65)0(65)0
   239    67.000000      1.000000      68.000000   Etimer17         0     11110000001010111101000(50)(43)06(65)0(65)0
   240     0.000000     68.000000      68.000000   T3               0     11110000001010111101000(51)(43)06(65)0(65)0
   241    68.000000      1.000000      69.000000   Etimer18         0     11210100000010111111000(51)(43)06(65)0(65)0
   242    68.000000      1.000000      69.000000   Etimer17         0     11210100000010111111000(51)(44)06(65)0(65)0
   243    68.000000      1.000000      69.000000   Etimer19         0     11210100000010111111000(52)(44)06(65)0(65)0
   244    68.000000      1.000000      69.000000   Etimer20         0     11210100000010111111000(52)(44)16(65)0(65)0
   245    69.000000      1.000000      70.000000   Etimer17         0     11210100000010111111000(52)(44)17(65)0(65)0
   246    69.000000      1.000000      70.000000   Etimer18         0     11210100000010111111000(53)(44)17(65)0(65)0
   247    69.000000      1.000000      70.000000   Etimer20         0     11210100000010111111000(53)(45)17(65)0(65)0
   248    69.000000      1.000000      70.000000   Etimer19         0     11210100000010111111000(53)(45)18(65)0(65)0
   249    70.000000      1.000000      71.000000   Etimer17         0     11210100000010111111000(53)(45)28(65)0(65)0
   250    70.000000      1.000000      71.000000   Etimer19         0     11210100000010111111000(54)(45)28(65)0(65)0
   251    70.000000      1.000000      71.000000   Etimer18         0     11210100000010111111000(54)(45)38(65)0(65)0
   252    70.000000      1.000000      71.000000   Etimer20         0     11210100000010111111000(54)(46)38(65)0(65)0
   253    71.000000      1.000000      72.000000   Etimer19         0     11210100000010111111000(54)(46)39(65)0(65)0
   254    71.000000      1.000000      72.000000   Etimer18         0     11210100000010111111000(54)(46)49(65)0(65)0
   255    71.000000      1.000000      72.000000   Etimer17         0     11210100000010111111000(54)(47)49(65)0(65)0
   256    71.000000      1.000000      72.000000   Etimer20         0     11210100000010111111000(55)(47)49(65)0(65)0
   257    72.000000      1.000000      73.000000   Etimer19         0     11210100000010111111000(55)(47)4(10)(65)0(65)0
   258    72.000000      1.000000      73.000000   Etimer18         0     11210100000010111111000(55)(47)5(10)(65)0(65)0
   259    72.000000      1.000000      73.000000   Etimer20         0     11210100000010111111000(55)(48)5(10)(65)0(65)0
   260    72.000000      1.000000      73.000000   Etimer17         0     11210100000010111111000(55)(48)5(11)(65)0(65)0
   261    73.000000      1.000000      74.000000   Etimer18         0     11210100000010111111000(56)(48)5(11)(65)0(65)0
   262    73.000000      1.000000      74.000000   Etimer20         0     11210100000010111111000(56)(49)5(11)(65)0(65)0
   263    73.000000      1.000000      74.000000   Etimer17         0     11210100000010111111000(56)(49)5(12)(65)0(65)0
