
-------------------------------------------------------------------------------------------------
Event#  Enabling_Time     Delay    Firing_Time    Firing_Tr   Token_ID     Marking(befor firing)  
  1205   223.000000      1.000000     224.000000   Etimer39         0     112002003140101100000110110100000011011001001(49)(91)(24)(131)(77)(109)(68)0(113)(150)(77)0(147)0(68)(49)
  1206   223.000000      1.000000     224.000000   Etimer35         0     112002003140101100000110110100000011011001001(49)(91)(24)(131)(77)(109)(68)0(114)(150)(77)0(147)0(68)(49)
  1207   223.000000      1.000000     224.000000   Etimer38         0     112002003140101100000110110100000011011001001(49)(92)(24)(131)(77)(109)(68)0(114)(150)(77)0(147)0(68)(49)
  1208   223.000000      1.000000     224.000000   Etimer45         0     112002003140101100000110110100000011011001001(49)(92)(24)(131)(77)(110)(68)0(114)(150)(77)0(147)0(68)(49)
  1209   223.000000      1.000000     224.000000   Etimer42         0     112002003140101100000110110100000011011001001(50)(92)(24)(131)(77)(110)(68)0(114)(150)(77)0(147)0(68)(49)
  1210   223.000000      1.000000     224.000000   Etimer45         0     112002003140101100000110110100000011011001001(50)(92)(24)(131)(77)(110)(68)0(114)(150)(77)0(148)0(68)(49)
  1211   224.000000      1.000000     225.000000   Etimer39         0     112002003140101100000110110100000011011001001(50)(92)(24)(131)(77)(110)(68)0(114)(150)(77)0(148)0(68)(50)
  1212   224.000000      1.000000     225.000000   Etimer42         0     112002003140101100000110110100000011011001001(50)(92)(24)(131)(77)(110)(68)0(115)(150)(77)0(148)0(68)(50)
  1213   224.000000      1.000000     225.000000   Etimer35         0     112002003140101100000110110100000011011001001(50)(92)(24)(131)(77)(110)(68)0(115)(150)(77)0(149)0(68)(50)
  1214   224.000000      1.000000     225.000000   Etimer45         0     112002003140101100000110110100000011011001001(50)(93)(24)(131)(77)(110)(68)0(115)(150)(77)0(149)0(68)(50)
  1215   224.000000      1.000000     225.000000   Etimer38         0     112002003140101100000110110100000011011001001(50)(93)(24)(131)(77)(110)(68)0(115)(150)(77)0(149)0(68)(51)
  1216   224.000000      1.000000     225.000000   Etimer45         0     112002003140101100000110110100000011011001001(50)(93)(24)(131)(77)(111)(68)0(115)(150)(77)0(149)0(68)(51)
  1217   224.000000      1.000000     225.000000   Etimer36         0     112002003140101100000110110100000011011001001(51)(93)(24)(131)(77)(111)(68)0(115)(150)(77)0(149)0(68)(51)
  1218   225.000000      1.000000     226.000000   Etimer35         0     112002003140101100000110110100000011011001001(51)(93)(25)(131)(77)(111)(68)0(115)(150)(77)0(149)0(68)(51)
  1219   225.000000      1.000000     226.000000   Etimer42         0     112002003140101100000110110100000011011001001(51)(94)(25)(131)(77)(111)(68)0(115)(150)(77)0(149)0(68)(51)
  1220   225.000000      1.000000     226.000000   Etimer45         0     112002003140101100000110110100000011011001001(51)(94)(25)(131)(77)(111)(68)0(115)(150)(77)0(150)0(68)(51)
  1221   225.000000      1.000000     226.000000   Etimer38         0     112002003140101100000110110100000011011001001(51)(94)(25)(131)(77)(111)(68)0(115)(150)(77)0(150)0(68)(52)
  1222   225.000000      1.000000     226.000000   Etimer39         0     112002003140101100000110110100000011011001001(51)(94)(25)(131)(77)(112)(68)0(115)(150)(77)0(150)0(68)(52)
  1223   225.000000      1.000000     226.000000   Etimer45         0     112002003140101100000110110100000011011001001(51)(94)(25)(131)(77)(112)(68)0(116)(150)(77)0(150)0(68)(52)
  1224   225.000000      1.000000     226.000000   Etimer36         0     112002003140101100000110110100000011011001001(52)(94)(25)(131)(77)(112)(68)0(116)(150)(77)0(150)0(68)(52)
  1225   226.000000      1.000000     227.000000   Etimer36         0     112002003140101100000110110100000011011001001(52)(94)(26)(131)(77)(112)(68)0(116)(150)(77)0(150)0(68)(52)
  1226   226.000000      1.000000     227.000000   Etimer35         0     112002003140101100000110110100000011011001001(52)(94)(27)(131)(77)(112)(68)0(116)(150)(77)0(150)0(68)(52)
  1227   226.000000      1.000000     227.000000   Etimer42         0     112002003140101100000110110100000011011001001(52)(95)(27)(131)(77)(112)(68)0(116)(150)(77)0(150)0(68)(52)
  1228   226.000000      1.000000     227.000000   Etimer38         0     112002003140101100000110110100000011011001001(52)(95)(27)(131)(77)(112)(68)0(116)(150)(77)0(151)0(68)(52)
  1229   226.000000      1.000000     227.000000   Etimer39         0     112002003140101100000110110100000011011001001(52)(95)(27)(131)(77)(113)(68)0(116)(150)(77)0(151)0(68)(52)
  1230   226.000000      1.000000     227.000000   Etimer45         0     112002003140101100000110110100000011011001001(52)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(151)0(68)(52)
  1231   226.000000      1.000000     227.000000   Etimer45         0     112002003140101100000110110100000011011001001(52)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(151)0(68)(53)
  1232   227.000000      1.000000     228.000000   Etimer45         0     112002003140101100000110110100000011011001001(53)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(151)0(68)(53)
  1233   227.000000      1.000000     228.000000   Etimer45         0     112002003140101100000110110100000011011001001(54)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(151)0(68)(53)
  1234   227.000000      1.000000     228.000000   Etimer42         0     112002003140101100000110110100000011011001001(54)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(151)0(68)(54)
  1235   227.000000      1.000000     228.000000   Etimer36         0     112002003140101100000110110100000011011001001(54)(95)(27)(131)(77)(113)(68)0(117)(150)(77)0(152)0(68)(54)
  1236   227.000000      1.000000     228.000000   Etimer39         0     112002003140101100000110110100000011011001001(54)(95)(28)(131)(77)(113)(68)0(117)(150)(77)0(152)0(68)(54)
  1237   227.000000      1.000000     228.000000   Etimer38         0     112002003140101100000110110100000011011001001(54)(95)(28)(131)(77)(113)(68)0(118)(150)(77)0(152)0(68)(54)
  1238   227.000000      1.000000     228.000000   Etimer35         0     112002003140101100000110110100000011011001001(54)(95)(28)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(54)
  1239   228.000000      1.000000     229.000000   Etimer36         0     112002003140101100000110110100000011011001001(54)(96)(28)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(54)
  1240   228.000000      1.000000     229.000000   Etimer45         0     112002003140101100000110110100000011011001001(54)(96)(29)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(54)
  1241   228.000000      1.000000     229.000000   Etimer35         0     112002003140101100000110110100000011011001001(55)(96)(29)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(54)
  1242   228.000000      1.000000     229.000000   Etimer45         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(54)
  1243   228.000000      1.000000     229.000000   Etimer39         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(114)(68)0(118)(150)(77)0(152)0(68)(55)
  1244   228.000000      1.000000     229.000000   Etimer42         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(114)(68)0(119)(150)(77)0(152)0(68)(55)
  1245   228.000000      1.000000     229.000000   Etimer38         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(114)(68)0(119)(150)(77)0(153)0(68)(55)
  1246   229.000000      1.000000     230.000000   Etimer45         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(115)(68)0(119)(150)(77)0(153)0(68)(55)
  1247   229.000000      1.000000     230.000000   Etimer36         0     112002003140101100000110110100000011011001001(55)(97)(29)(131)(77)(115)(68)0(119)(150)(77)0(153)0(68)(56)
  1248   229.000000      1.000000     230.000000   Etimer35         0     112002003140101100000110110100000011011001001(55)(97)(30)(131)(77)(115)(68)0(119)(150)(77)0(153)0(68)(56)
  1249   229.000000      1.000000     230.000000   Etimer42         0     112002003140101100000110110100000011011001001(55)(98)(30)(131)(77)(115)(68)0(119)(150)(77)0(153)0(68)(56)
  1250   229.000000      1.000000     230.000000   Etimer38         0     112002003140101100000110110100000011011001001(55)(98)(30)(131)(77)(115)(68)0(119)(150)(77)0(154)0(68)(56)
  1251   229.000000      1.000000     230.000000   Etimer45         0     112002003140101100000110110100000011011001001(55)(98)(30)(131)(77)(116)(68)0(119)(150)(77)0(154)0(68)(56)
  1252   229.000000      1.000000     230.000000   Etimer39         0     112002003140101100000110110100000011011001001(56)(98)(30)(131)(77)(116)(68)0(119)(150)(77)0(154)0(68)(56)
  1253   230.000000      1.000000     231.000000   Etimer35         0     112002003140101100000110110100000011011001001(56)(98)(30)(131)(77)(116)(68)0(120)(150)(77)0(154)0(68)(56)
  1254   230.000000      1.000000     231.000000   Etimer38         0     112002003140101100000110110100000011011001001(56)(99)(30)(131)(77)(116)(68)0(120)(150)(77)0(154)0(68)(56)
  1255   230.000000      1.000000     231.000000   Etimer36         0     112002003140101100000110110100000011011001001(56)(99)(30)(131)(77)(117)(68)0(120)(150)(77)0(154)0(68)(56)
  1256   230.000000      1.000000     231.000000   Etimer45         0     112002003140101100000110110100000011011001001(56)(99)(31)(131)(77)(117)(68)0(120)(150)(77)0(154)0(68)(56)
  1257   230.000000      1.000000     231.000000   Etimer42         0     112002003140101100000110110100000011011001001(56)(99)(31)(131)(77)(117)(68)0(120)(150)(77)0(154)0(68)(57)
  1258   230.000000      1.000000     231.000000   Etimer45         0     112002003140101100000110110100000011011001001(56)(99)(31)(131)(77)(117)(68)0(120)(150)(77)0(155)0(68)(57)
  1259   230.000000      1.000000     231.000000   Etimer39         0     112002003140101100000110110100000011011001001(57)(99)(31)(131)(77)(117)(68)0(120)(150)(77)0(155)0(68)(57)
  1260   231.000000      1.000000     232.000000   Etimer38         0     112002003140101100000110110100000011011001001(57)(99)(31)(131)(77)(117)(68)0(121)(150)(77)0(155)0(68)(57)
  1261   231.000000      1.000000     232.000000   Etimer45         0     112002003140101100000110110100000011011001001(57)(99)(31)(131)(77)(118)(68)0(121)(150)(77)0(155)0(68)(57)
  1262   231.000000      1.000000     232.000000   Etimer36         0     112002003140101100000110110100000011011001001(58)(99)(31)(131)(77)(118)(68)0(121)(150)(77)0(155)0(68)(57)
  1263   231.000000      1.000000     232.000000   Etimer35         0     112002003140101100000110110100000011011001001(58)(99)(32)(131)(77)(118)(68)0(121)(150)(77)0(155)0(68)(57)
  1264   231.000000      1.000000     232.000000   Etimer42         0     112002003140101100000110110100000011011001001(58)(100)(32)(131)(77)(118)(68)0(121)(150)(77)0(155)0(68)(57)
  1265   231.000000      1.000000     232.000000   Etimer45         0     112002003140101100000110110100000011011001001(58)(100)(32)(131)(77)(118)(68)0(121)(150)(77)0(156)0(68)(57)
  1266   231.000000      1.000000     232.000000   Etimer39         0     112002003140101100000110110100000011011001001(58)(100)(32)(131)(77)(118)(68)0(121)(150)(77)0(156)0(68)(58)
  1267   232.000000      1.000000     233.000000   Etimer45         0     112002003140101100000110110100000011011001001(58)(100)(32)(131)(77)(118)(68)0(122)(150)(77)0(156)0(68)(58)
  1268   232.000000      1.000000     233.000000   Etimer35         0     112002003140101100000110110100000011011001001(58)(100)(32)(131)(77)(118)(68)0(122)(150)(77)0(156)0(68)(59)
  1269   232.000000      1.000000     233.000000   Etimer39         0     112002003140101100000110110100000011011001001(58)(101)(32)(131)(77)(118)(68)0(122)(150)(77)0(156)0(68)(59)
  1270   232.000000      1.000000     233.000000   Etimer38         0     112002003140101100000110110100000011011001001(58)(101)(32)(131)(77)(118)(68)0(123)(150)(77)0(156)0(68)(59)
  1271   232.000000      1.000000     233.000000   Etimer45         0     112002003140101100000110110100000011011001001(58)(101)(32)(131)(77)(119)(68)0(123)(150)(77)0(156)0(68)(59)
  1272   232.000000      1.000000     233.000000   Etimer36         0     112002003140101100000110110100000011011001001(59)(101)(32)(131)(77)(119)(68)0(123)(150)(77)0(156)0(68)(59)
  1273   232.000000      1.000000     233.000000   Etimer42         0     112002003140101100000110110100000011011001001(59)(101)(33)(131)(77)(119)(68)0(123)(150)(77)0(156)0(68)(59)
  1274   233.000000      1.000000     234.000000   Etimer42         0     112002003140101100000110110100000011011001001(59)(101)(33)(131)(77)(119)(68)0(123)(150)(77)0(157)0(68)(59)
  1275   233.000000      1.000000     234.000000   Etimer45         0     112002003140101100000110110100000011011001001(59)(101)(33)(131)(77)(119)(68)0(123)(150)(77)0(158)0(68)(59)
  1276   233.000000      1.000000     234.000000   Etimer35         0     112002003140101100000110110100000011011001001(60)(101)(33)(131)(77)(119)(68)0(123)(150)(77)0(158)0(68)(59)
  1277   233.000000      1.000000     234.000000   Etimer38         0     112002003140101100000110110100000011011001001(60)(102)(33)(131)(77)(119)(68)0(123)(150)(77)0(158)0(68)(59)
  1278   233.000000      1.000000     234.000000   Etimer39         0     112002003140101100000110110100000011011001001(60)(102)(33)(131)(77)(120)(68)0(123)(150)(77)0(158)0(68)(59)
  1279   233.000000      1.000000     234.000000   Etimer36         0     112002003140101100000110110100000011011001001(60)(102)(33)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(59)
  1280   233.000000      1.000000     234.000000   Etimer45         0     112002003140101100000110110100000011011001001(60)(102)(34)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(59)
  1281   234.000000      1.000000     235.000000   Etimer36         0     112002003140101100000110110100000011011001001(60)(102)(34)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(60)
  1282   234.000000      1.000000     235.000000   Etimer35         0     112002003140101100000110110100000011011001001(60)(102)(35)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(60)
  1283   234.000000      1.000000     235.000000   Etimer45         0     112002003140101100000110110100000011011001001(60)(103)(35)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(60)
  1284   234.000000      1.000000     235.000000   Etimer45         0     112002003140101100000110110100000011011001001(60)(103)(35)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(61)
  1285   234.000000      1.000000     235.000000   Etimer42         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(120)(68)0(124)(150)(77)0(158)0(68)(61)
  1286   234.000000      1.000000     235.000000   Etimer39         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(120)(68)0(124)(150)(77)0(159)0(68)(61)
  1287   234.000000      1.000000     235.000000   Etimer38         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(120)(68)0(125)(150)(77)0(159)0(68)(61)
  1288   235.000000      1.000000     236.000000   Etimer45         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(121)(68)0(125)(150)(77)0(159)0(68)(61)
  1289   235.000000      1.000000     236.000000   Etimer39         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(121)(68)0(125)(150)(77)0(159)0(68)(62)
  1290   235.000000      1.000000     236.000000   Etimer35         0     112002003140101100000110110100000011011001001(61)(103)(35)(131)(77)(121)(68)0(126)(150)(77)0(159)0(68)(62)
  1291   235.000000      1.000000     236.000000   Etimer38         0     112002003140101100000110110100000011011001001(61)(104)(35)(131)(77)(121)(68)0(126)(150)(77)0(159)0(68)(62)
